캐릭터명,레벨,발탄,비아키스,쿠크세이튼,아브렐슈드,일리아칸,오레하,아르고스,카양겔,timestamp
김서풍,1556.67,하드/가능,하드/가능,노말/가능,하드14노말56/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,하드1/가능,2022-09-07 13:25:36
냉동랜스,1477.50,하드/가능,하드/가능,노말/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,골드보상X/가능,노말/가능,2022-09-07 13:25:40
Obtusis,1565.83,하드/가능,하드/가능,노말/가능,하드16/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,하드2/가능,2022-09-07 13:25:44
리퍼님파티신청하지마세요,1560.00,하드/가능,하드/가능,노말/가능,하드16/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,하드2/가능,2022-09-07 13:25:48
선우서풍,1496.67,하드/가능,하드/가능,노말/가능,노말12/가능,레벨제한/입장불가,골드보상X,가능,골드보상X/가능,노말/가능,2022-09-07 13:25:51
남궁서풍,1467.50,하드/가능,하드/가능,리허설/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-07 13:25:55
서문서풍,1467.50,하드/가능,하드/가능,리허설/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-07 13:25:58
최왕하,1524.17,하드/가능,하드/가능,노말/가능,노말16/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,하드1/가능,2022-09-07 13:26:01
최왕후,1522.50,하드/가능,하드/가능,노말/가능,노말16/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,하드1/가능,2022-09-07 13:26:05
최왕서,1460.00,하드/가능,하드/가능,리허설/가능,데자뷰/가능,레벨제한/입장불가,골드보상X,가능,3페이즈/가능,레벨제한/입장불가,2022-09-07 13:26:08
최왕령,1503.33,하드/가능,하드/가능,노말/가능,노말14/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,노말/가능,2022-09-07 13:26:11
최왕임,1504.17,하드/가능,하드/가능,노말/가능,노말14/가능,에피데믹/가능,골드보상X,가능,골드보상X/가능,노말/가능,2022-09-07 13:26:14
